a,b,stratum,core_fit,rms,max,same_sg,same_res
1W0G,3NXU,holo-holo different ligand,1.0913991177383964,4.4846922090058365,5.574994949395772,False,False
1W0G,3UA1,holo-holo different ligand,0.565993474267134,0.6139680343211913,1.0415606480721888,True,False
1W0G,4D6Z,holo-holo different ligand,0.5267069762547203,0.4605918967266857,0.8223773984790202,True,False
1W0G,4D75,holo-holo different ligand,0.5281223963034375,0.5304074186918727,1.0660068490832617,True,False
1W0G,4D78,holo-holo different ligand,0.7664633678276926,4.541030317929764,6.2983533293223894,True,False
1W0G,4D7D,holo-holo different ligand,0.7619125461374631,4.207837915081496,6.802444827593759,True,True
1W0G,4I4G,holo-holo different ligand,0.8186988796717941,5.145577514275344,7.0890661842018154,True,True
1W0G,4I4H,holo-holo different ligand,0.8139831146094751,4.463575464822171,5.924329155030318,True,False
1W0G,4K9T,holo-holo different ligand,0.8291689681421655,4.374967483250204,6.194961414326428,True,False
1W0G,4K9V,holo-holo different ligand,0.5568166623450111,0.8205814528801217,1.69257699777626,True,False
1W0G,4K9W,holo-holo different ligand,1.0917631639773417,4.53666368762105,5.816280249414056,False,False
1W0G,4NY4,holo-holo different ligand,0.6052357624968703,0.7137112501569519,1.366598953396743,True,False
1W0G,5TE8,holo-holo different ligand,0.6435914458394663,7.019399885753251,11.75796449997255,False,True
1W0G,5VC0,holo-holo different ligand,0.9906960089905708,4.9372299598981195,6.366922655389999,True,True
1W0G,5VCE,holo-holo different ligand,0.699920655165333,0.8492511675180174,0.9721804743757836,True,False
1W0G,5VCG,holo-holo different ligand,0.6321030418298669,0.4326523278389975,0.8003131318121252,True,False
1W0G,6BCZ,holo-holo different ligand,0.5543321400047786,0.5259929176082083,0.7572718256675768,True,False
1W0G,6BD5,holo-holo different ligand,0.5609546848987784,0.5337777642429943,0.7770540975473014,True,False
1W0G,6BD6,holo-holo different ligand,0.6258279083009884,0.9169560529778746,1.398904750199242,True,False
1W0G,6BD7,holo-holo different ligand,0.5280442988320121,0.5505471458609095,0.8397610671908196,True,False
1W0G,6BD8,holo-holo different ligand,0.6251634451211623,0.7584010561463661,1.1070667529433078,True,False
1W0G,6BDI,holo-holo different ligand,0.5176153516695209,0.47696003338680665,0.7314410918184864,True,False
1W0G,6BDK,holo-holo different ligand,0.5077200697294721,0.5818151116260272,0.8477460174352125,True,False
1W0G,6MA6,holo-holo same ligand,0.5159231527871979,0.451030075396499,0.5575201934037818,True,False
1W0G,6MA7,holo-holo different ligand,0.5462434280398726,0.8047502118902262,1.1994723737971373,True,False
1W0G,6OO9,holo-holo different ligand,0.5318046051382309,0.5196794797291001,0.8869942987948356,True,False
1W0G,6OOB,holo-holo different ligand,0.5673909535146263,0.6956581543334123,1.0876010829432794,True,False
1W0G,6UNJ,holo-holo different ligand,0.9858969715356531,4.207484116167148,6.335683855169539,False,False
1W0G,7KVH,holo-holo different ligand,0.8940904402908412,4.7654752398997955,6.50034579518846,False,False
1W0G,7KVK,holo-holo different ligand,1.0140921517334476,4.450454642757609,5.913919843053293,False,False
1W0G,7KVN,holo-holo different ligand,0.9445440470083778,4.550948954808604,6.0475220752055945,False,True
1W0G,7KVO,holo-holo different ligand,0.9152003947950876,4.3353544542028235,5.771974001553831,False,False
1W0G,7KVQ,holo-holo different ligand,0.9187753121147567,4.310473504707484,5.856256098589869,False,True
1W0G,7KVS,holo-holo different ligand,0.9284221764323126,4.389673725327847,5.956189585607969,False,False
1W0G,7UFA,holo-holo different ligand,0.6089290217671027,6.843105789187153,8.347319249417328,True,False
1W0G,7UFB,holo-holo different ligand,0.5186116690565755,0.387903697325811,0.6378234017317338,True,False
1W0G,7UFC,holo-holo different ligand,0.5998264390523772,0.517872543339331,0.7454358638139557,True,False
1W0G,7UFD,holo-holo different ligand,0.5763937308104533,0.5061820062522087,0.7961783438096601,True,False
1W0G,7UFE,holo-holo different ligand,0.9803536416448947,4.446567790867339,5.789039529359336,False,False
1W0G,7UFF,holo-holo different ligand,0.9804399732106568,4.468505434321503,5.832530238662218,False,True
1W0G,8EWS,holo-holo different ligand,0.750259757260595,7.101886107504918,9.266583343249255,True,False
1W0G,8EXB,holo-holo different ligand,0.81583958012329,6.904654245104169,8.803764650068656,True,False
1W0G,8SO1,holo-holo different ligand,0.5522614026804903,0.614332881952576,0.9542452321478684,True,False
1W0G,8SO2,holo-holo different ligand,0.5403939288121904,0.3318579940555675,0.4702587441161346,True,False
1W0G,8SPD,holo-holo different ligand,0.5136925009979546,7.1290759913863635,8.839015953078246,True,False
1W0G,9BV5,holo-holo different ligand,0.5317414566217666,0.40735374835428884,0.685324076810128,True,True
1W0G,9BV8,holo-holo different ligand,0.48766426503431637,0.2524291963716915,0.36049137094100314,True,False
1W0G,9BV9,holo-holo different ligand,0.4690671306200831,0.7606834497550455,1.0710929326886696,True,False
1W0G,9BVA,holo-holo different ligand,0.4723280493688708,0.7284814871786236,1.0329756963525956,True,False
1W0G,9BVB,holo-holo different ligand,0.4745517824880902,0.7505581173760367,1.0502742366658935,True,False
1W0G,9BVC,holo-holo different ligand,0.48167272221355206,0.7865351619032455,1.1157308821836485,True,False
1W0G,9PLJ,holo-holo different ligand,0.5501899717570683,0.7118084709587312,1.092528958079009,True,True
1W0G,9YK4,holo-holo different ligand,0.5231394844059254,0.4628521056863099,0.8088587638628757,True,False
3NXU,3UA1,holo-holo different ligand,0.9949245582264439,4.566799288258498,5.854529393767488,False,False
3NXU,4D6Z,holo-holo different ligand,0.9934328967476385,4.556210472680193,5.695007702001864,False,False
3NXU,4D75,holo-holo different ligand,0.9144965060430482,4.425294046924106,5.637658120144746,False,False
3NXU,4D78,holo-holo different ligand,0.5359226347508762,0.7412462764675692,1.1651008293414018,False,False
3NXU,4D7D,holo-holo different ligand,0.5945771514589783,1.5806709553522962,2.4575414053027593,False,False
3NXU,4I4G,holo-holo different ligand,0.4615957360249991,1.069755713024387,1.724622024682912,False,False
3NXU,4I4H,holo-holo different ligand,0.4984946644497151,0.5746884185281982,0.8852025360865299,False,False
3NXU,4K9T,holo-holo different ligand,0.5225193218844786,6.14615281592371,7.87072950765015,False,False
3NXU,4K9V,holo-holo different ligand,0.7404593930785258,4.505498580798231,5.741057318772514,False,False
3NXU,4K9W,holo-holo different ligand,0.3272261978411371,0.5515776509463336,0.7487689900654443,False,False
3NXU,4NY4,holo-holo different ligand,0.8070822848620505,4.2183531751734975,5.51055522460557,False,False
3NXU,5TE8,holo-holo different ligand,1.2635331272548735,9.419501255120212,16.206440101809672,False,False
3NXU,5VC0,holo-holo same ligand,0.3862078971428631,0.9291583986899179,1.1591075024437567,False,False
3NXU,5VCE,holo-holo same ligand,0.6570344962003305,4.324356169307314,5.576289713242813,False,False
3NXU,5VCG,holo-holo different ligand,0.9242040058290594,4.496693555121868,5.718573417975319,False,False
3NXU,6BCZ,holo-holo different ligand,0.9346763729845985,4.4049079647977125,5.439096759605087,False,False
3NXU,6BD5,holo-holo different ligand,0.9410117733987345,4.4369101714629675,5.715396548906715,False,False
3NXU,6BD6,holo-holo different ligand,0.8258721912001806,3.9844704264137243,5.3307439165474735,False,False
3NXU,6BD7,holo-holo different ligand,0.9785221150509316,4.47676641593907,5.659082030156735,False,False
3NXU,6BD8,holo-holo different ligand,0.9053838905458418,4.274414475670236,5.393239416004521,False,False
3NXU,6BDI,holo-holo different ligand,0.9693183173743373,4.390724009250686,5.431658247652939,False,False
